,textID,text,selected_text,sentiment,class
1538,a3d0035ce0, Oh no! Hope you find your voice soon,Oh no! Hope you find your voice soon,neutral,1
15032,b953afbde0,New phone isn`t syncing with my computer...I need numbers,New phone isn`t syncing with my computer...I need numbers,neutral,1
9058,8e6b515a24,watchin what a girl wants with mom and brittany..,watchin what a girl wants with mom and brittany..,neutral,1
2052,93937bcf32,They never cease to amaze me.,amaze,positive,2
4355,47dde4db6b, my sympathies - been here 20 minutes and had enough - will escape soon,my sympathies - been here 20 minutes and had enough - will escape soon,neutral,1
17254,9dd04e1a9f,Its so sad,Its so sad,negative,0
8395,a8d2fefd0d,"My three-day weekend starts now.  Was gonna watch Star Trek, but opted to go another night instead.","My three-day weekend starts now.  Was gonna watch Star Trek, but opted to go another night instead.",neutral,1
17614,b13fd5a164,Wish I was in London to personally witness the Nun Run! What a great idea for the opening of Sister Act`s new broadway show,Wish I was in London to personally witness the Nun Run! What a great idea for the opening of Sister Act`s new broadway show,positive,2
13718,f9f75727b9,i`m kinda sad of being alone all the time i miss my brother  and my friends suck i mean no one has even called me in 2 weeks,s suck,negative,0
1898,700eb9d742,Went out to get groceries...prices are inflating  Gas went up another 10 cents to hit $2.49... #TCOT,inflating,negative,0
22234,657cdeb6b1,   someone is ignoring me  & being mean..,is ignorin,negative,0
3206,e95697be98,_y_Tony Hey,_y_Tony Hey,neutral,1
23022,44f7d98e16,aaahhh...just woke up! feels good to sleep in on a monday!!!,good,positive,2
17818,2b17bd5c9f, Hiya! You might want to delete and retweet - the link to your blog doesn`t work,Hiya! You might want to delete and retweet - the link to your blog doesn`t work,neutral,1
7849,e80a7bb070," Indeed plenty of jokes to be had  Lying on bed hoping it`s going to free up, I`m on Jury service tomorrow...",ed hoping,positive,2
11754,bae5414377, uh oh,uh oh,negative,0
16639,181f7433bb,Ed is off to Cornwall with school for a week confused   +,Ed is off to Cornwall with school for a week confused,neutral,1
14844,3607fa2202,"  i know the feeling, working so much sucks hardcore. we need to hang out soon",ch sucks hardcore,negative,0
11699,7b033330b9," dont be gloomy...go out and get urself ice-cream.or gin,whichever",dont be gloomy.,positive,2
13499,40238065a2, You don`t have to rub it in.,You don`t have to rub it in.,neutral,1
14604,0d5009477c,45Th st pub anyone tonight? Dont want to be a lonely drunk tonight,Dont want to be a lonely drunk tonight,positive,2
1331,a5cb92d08b, Oceans 12,Oceans 12,neutral,1
8381,cae3d9d9bd,i`m new!!!!! dunno whatta doo!,i`m new!!!!! dunno whatta doo!,neutral,1
24754,c0e97b1036,http://www.eabeauty.net - The world of beauty and pretty girls   I`m testing new version,http://www.eabeauty.net - The world of beauty and pretty girls   I`m testing new version,neutral,1
25014,93d7a01f0c, oooh sounds yummy.  If you get a chance to take some pics  please add them to the website as we don`t have many pies on there,yummy.,positive,2
1602,eed7c0e78e, I`m going big weekend  cant wait to see u! x,cant wait to see,positive,2
8178,2e5f217f31,"_hearts hey,got your text. cannae hen, family are comin over  i`ve got nae money to come to livi anyway  xxxx","_hearts hey,got your text. cannae hen, family are comin over  i`ve got nae money to come to livi anyway  xxxx",neutral,1
2552,171028e14a,  you have every right to feel like a crazy fanboy! jason mraz and james morrison? the jealousy is tangible,you have every right to feel like a crazy fanboy! jason mraz and james morrison? the jealousy is tangible,neutral,1
14716,ed88ba0589," hi ty. good morning. happy mom`s day to your mom. i love that your entire family is adding me on FB! i love `em, very sweet!",love,positive,2
10798,2660d36152," Alright, sorry. But I think you should go anyways",sorry.,negative,0
10978,22f0294ce9,shouts out to  and ,shouts out,negative,0
23954,3301f3ea67, i missed the sun as was too busy gettin hot and bothered in the shops  will have to make up for it at the weekend! x,i missed the sun as was too busy gettin hot and bothered in the shops  will have to make up for it at the weekend!,neutral,1
16248,e97f62830d,"11.40 AM. I don`t wanna wake up. Shoo, roommate, shoo.","11.40 AM. I don`t wanna wake up. Shoo, roommate, shoo.",neutral,1
6007,f7f4013a4e,TGIF... this 'short' week has been wayyyyyy too long,too long,negative,0
16161,efb2f7765a,I truly praise God for my mom-the greatest mother in the world  Happy mother`s day to all of the mothers reading this. Enjoy your day!,greatest,positive,2
3602,974b2c5636,"_mcflyandjb in heaven, i`ll go everywhere","in heaven, i`ll go everywhere",neutral,1
18696,89a2732403, facepalm  hope the interview is a choice and not a forced thing...,hope,positive,2
14435,fcbd27bb82, yes please,yes please,neutral,1
19591,10c23a0f46, That is the best sticker EVER. Also. I dig your hair. It`s gotten long since I`ve seen you last.,best sticker EVER.,positive,2
14200,3c19266ecf,"http://twitpic.com/675u6 - Square B - she is sad because she wasn`t there and now she`s, well, square  (crocheted bee with poly fibe ...",sad be,negative,0
6512,7013702c92,better get some sleep soon. she has to get up and go to Sunday meetin` so she can pass out invites to her jewelery party.,better get some sleep soon. she has to get up and go to Sunday meetin` so she can pass out invites to her jewelery party.,neutral,1
11518,c0d627d76d,"I have to say, I find it very hard selling on etsy.... sometimes discouraging",hard,negative,0
12757,575d231452, LOL ok we gotta get the folks from Microsoft and live360 in WA to hire me.,LOL ok we gotta get the folks from Microsoft and live360 in WA to hire me.,neutral,1
2221,c8e44ba4ed,"Sitting watching britain`s got f all talent, but have watched a small girl cry and it`s sad",watched a small girl cry and it`s sad,negative,0
13860,4560f11d7a,Disneyland was a blast yesterday now back to work,blast,positive,2
24941,18bb683c37, thats great I`ll make sure I get a copy,thats great,positive,2
25224,c5241ed0c6, Were you going to come? The venue said that they couldn`t afford to open so cancelled it. I wish we were there now!,. I wish we were there now!,negative,0
14841,7b745e4543,please?,please?,positive,2
1913,b832265a8e,"I really, really want a golden retriever. Too bad I won`t be living in a home where she could run around for about 10 years","I really, really want a golden retriever. Too bad I won`t be living in a home where she could run around for about 10 years",neutral,1
8834,475c808b17,straightening my hair,straightening my hair,neutral,1
11751,254254dfec,"thanks to the forever 21 curse that makes you spend 3 hours there everytime you go in, i couldnt go tanning today",thanks to the forever 21 curse,negative,0
1764,49961e3d9a,"Fab wedding yesterday, feet still sore from dancing so must be a good sign. V glad to wake up in my own bed this morning",Fab,positive,2
18666,40cf184b99, stinks  what do you do anyway?,stinks,negative,0
6586,eb01b80cfe, i know i really wanna do some more stuff im out of school in the next week so ill have a few free days a week... ill hit u up,so ill have a few free days a week... ill hit u up,negative,0
11714,cac8586e77,"specially when you`re already burneded. wore mums shoes as well, and now im all blistered. it sucks balls..",now im all blistered. it sucks balls..,negative,0
19418,60c947090b,HOMEWORK  BORRIING,HOMEWORK  BORRIING,negative,0
9322,ef09fd984c," be clear, I am Catholic, but wholeheartedly agree with you.  ('Same here' was ambiguous) #tcot #hhrs",t wholeheartedly agree with you.,positive,2
21064,454666ed2d," Awesome, congrats on completing it! (I can`t believe you cycled the distance to my cottage though in 1 day.  )","Awesome,",positive,2
25518,60a3027add,Sleeeeeeeepy.... I`m off... Goodnight twitterverse!,Sleeeeeeeepy.... I`m off... Goodnight twitterverse!,neutral,1
19311,66b4c98df6,Shower time,Shower time,neutral,1
14924,2f2c8a01e2,I meant mamas,I meant mamas,neutral,1
26166,abdb58812e,Finally able to get Flight Control for my Ipod. Best game app! 123  **** choppers lol,Best,positive,2
8444,175c43e5a8,you know ur dog is getting old when she sits down to eat...poor hilly please don`t grow up,poor hilly,negative,0
24987,3692246f06," here btw, this is not a bot","here btw, this is not a bot",neutral,1
3801,5c510be7a8," Wow, really? I didn`t know it was that serious.  Well that sucks. Texas must have been chock full of asbestos.",w it was that serious.  Well that sucks.,negative,0
22710,11a508ea61,http://twitpic.com/4w269 - My 789 pacman pic,My 789 pacman pic,neutral,1
24022,a3b20c9c86," A mocha at 12:30am? My, youï¿½re brave",brave,positive,2
7758,baa5ccb680, im home alone in the house and imma scared  x,a scared,negative,0
20025,143d5c2a90,'No more sorrow'! by: Linkin Park....,'No more sorrow'! by: Linkin Park....,neutral,1
22525,458ea16c97," ooooo I was/am using the iPhone version, I just use the web and sometimes twidget on my mac","ooooo I was/am using the iPhone version, I just use the web and sometimes twidget on my mac",neutral,1
1627,1e981d3f20,"remember, dont let your small list cover your big list...its too little to even worry about it.","remember, dont let your small list cover your big list...its too little to even worry about it.",neutral,1
17169,775a2ac6b8,Another water leak in my appartement. The good side is that I get to meet the girls previous & next floors,good,positive,2
12195,d06b41fef3,"To all the gorgeous moms out there, Happy Mom`s Daaay!",Happy Mom`s Daaay!,positive,2
9726,29d1c33123,My tummy hurts...again,hurts..,negative,0
21729,7412052774," ohhh ok. so like, it`s more frustrating? I had my hands on a 3g iphone last week but it was upgraded so i couldn`t unlock it",frustrating?,negative,0
10535,ea843f76b0,Why must Jay Leno leave his own show,Why must Jay Leno leave his own show,neutral,1
21137,8d82aa6a3a,I was expecting the sun to come out today. I guess that`s not happening.,not happening.,negative,0
25465,134147ee57,rushing to sitter to pick up my 103F-fevered preschooler,rushing to sitter to pick up my 103F-fevered preschooler,neutral,1
9117,65a6dfa4e4,Happy Mothers day to all you MI.. mothers out there.   Thanks for doing what you do .. whatever that is,Happy Mothers day,positive,2
15299,c39091da20,already missing my biddy bops  home at mom`s for the night watching my little bro and getting some rest for my birthday party tomorrow :-D,already missing my biddy bops  home at mom`s for the night watching my little bro and getting some rest for my birthday party tomorrow :-D,neutral,1
20535,daa3843c18,OMG The LG KC910 touchscreen fone is such a pile of shite!! Roll on new contract in 18 months,pile of shite!!,negative,0
12210,6febbb89d7,"I am tired tired tired, I think Im getting sick.","I am tired tired tired, I think Im getting sick.",negative,0
15064,ab5ba9f9bc,"Oh hey, look, North Korea are going to kill us all; or at least some of us.",kill,negative,0
21843,d06dee8ba0,Everythings Sooo Messed Up!!!!!!! Life Sucks!!!!!!!!!!,Messed,negative,0
12403,07fd0f3a7b,Happy Star Wars day everyone,Happy,positive,2
7193,f967942f57, Hey thanks for following  Love the name Elijah thats what im going to name my Son,Love,positive,2
1365,1e7784540e," I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.",", pains been part of my life for a long time now  I hope you feel a bit better soon.",neutral,1
22204,7be17ce45f,"Just got done with my first day of work and is exsausted, sweaty, and chalky.","Just got done with my first day of work and is exsausted, sweaty, and chalky.",negative,0
19247,111a65cf26, `auto-resolve` is that a Geek/tech answer to most questions??,`auto-resolve` is that a Geek/tech answer to most questions??,neutral,1
4590,609f4a0832,`before you wake` - we sink ships photography exhibition is ONLINE http://tinyurl.com/dfs7fy please have a look,`before you wake` - we sink ships photography exhibition is ONLINE http://tinyurl.com/dfs7fy please have a look,neutral,1
7719,2ef17bd974,sorry dunners just saw your tweet! totally let you down im so sorry babe  was at work till 8.30 very boooooo,boooooo,negative,0
11485,8c941bf04f, I got me to watch it.  Recommend some other kickass shows too. Phast!,I got me to watch it.  Recommend some other kickass shows too. Phast!,neutral,1
17262,cba5154eae, Kewl Sounds good. Will wait for it. Thanks,Sounds good. Will wait for it. Thanks,positive,2
12558,2f6dcb7cd8,"It`s great to be home! Temp is chill, cat is great and I feel awesome",great,positive,2
12200,b4d8e07ba3,Only four full days left in Aussie-land. I don`t want to go home.,I don`t want to go home.,negative,0
10923,a52ca0ae4a, i LOVE your hat! so cool. that looks like it was a fun day.  and i love that you used the word 'crikey' just now!!,i LOVE your hat! so cool. that looks like it was a fun day.  and i love that you used the word 'crikey' just now!!,positive,2
7147,81a218143d,  _Vincent  @ i missed the party!!!!  i bought wine and everything!!!,@ i missed the party!!!!  i bought wine and everything!,negative,0
6581,f6854fcb2c, haha. Okay.  have fun with that. Haha.,have fun,positive,2
24818,c28e5146f1, aw thas good im glad your happy  i jus been chillin,aw thas good im glad your happy  i jus been chillin,positive,2
25982,d9059d72a3,"layenn down,uughh dunt feel well","layenn down,uughh dunt feel well",negative,0
11804,663d7b9d62,"Getting used to getting up in the cold, but my asthma is paying for it.",asthma is paying for it.,negative,0
9381,03793d3a38," well if you`re ever headed back to the west coast, hit me up. I have a tiny place, but we can hack and hang out at the beach",d hang out at the beach,positive,2
23296,545627eefe,Feeling considerably better after 13 hours sleep  still not right though...,Feeling considerably better,positive,2
13169,db1013d3f0,_Melbourne Sounds good! Say hi if you run into me there! I`m always always having coffee there,good!,positive,2
7009,f939992ab4,"Just finished her tennis match... Lost tho  6-3, 1-6, 4-6","Just finished her tennis match... Lost tho  6-3, 1-6, 4-6",neutral,1
16906,ce79f994d7, http://twitpic.com/4j6kc - man i love your shelves! way to go diy diva!,- man i love your shelves! way to go diy diva!,positive,2
18128,a34d594f42,: just had my debut on Thursday @ The Gallery Lounge! It was fun... can`t wait to do the next one!!,fun..,positive,2
8675,8d4272e7f3, Fab new pic by the way,Fab new pic by the way,positive,2
16879,3b3670e7cf,having a great time with family!! big ups to my bro n sis in law for hanging out  love n peace! {be free},great,positive,2
11927,77f651352c,rock pooling.  Can`t believe I get paid for this!,rock pooling.  Can`t believe I get paid for this!,neutral,1
21638,0338930089,so most kids love my dark hair some say that I dye it too much and they never know what color its going to be  yea me hahahahaha,love,positive,2
26495,3949709cf1," Hahahaha! It`s not horrible, if others were singing with I`m sure it could work. I wish I could afford my own drum set","not horrible,",positive,2
6705,562ff532c7,Okay I lied! I meant this time next week! That is sooo much longer!!  I miss my mommy...,lied!,negative,0
20193,80cf06888d," i suppose this will be in the blog post, but could u email me who was there too","i suppose this will be in the blog post, but could u email me who was there too",neutral,1
9615,a6410241b8," good job at the logies this year. Hell funny, and you`re right about the baggin the logies tradition... so very Aussie!",good,positive,2
24872,822f5140fb, Neither could i! And i looked on ebay and it was like 250 euro for two!!!! but i doubt my parents would fork that amount out,doubt,negative,0
6515,8ec29926f1," hey!  not much, you?","hey!  not much, you?",neutral,1
3333,68e2d1008a," Not a fan of the layout change of hyperlinks. I don`t like the indentation and, well, I`m clicking and no link shows.",. I don`t like the indentation,negative,0
23873,96b649ae86,i need to speak with ! but i left my phone at home,i need to speak with ! but i left my phone at home,neutral,1
4612,91b4a40cfe, http://twitpic.com/4wrxq - whens your little gingg getting twitter ? from g + j,whens your little gingg getting twitter ? from g + j,neutral,1
12582,f457dfc624,i basically want the world to kno that i have the BEST best friend    love her <3,BEST best,positive,2
13058,2bd4f0bd2d,Wanting to go out... apparently no ones available!,Wanting to go out... apparently no ones available!,neutral,1
17735,d7cb12f0b0,feeling sick. headache. bored. tireddd,feeling sick. headache. bored. tireddd,negative,0
5376,60be4b6875,actually loves nesquik cereal,loves,positive,2
18992,425c250427, Thanks for getting me bottled water.,Thanks,positive,2
9728,f0dd6aa1cd, lost luggage? Sorry to hear.  you should check out our selection of travel luggage here: http://budurl.com/9mua,Sorry,negative,0
25152,9453252016,It`s hard to tell But I think I`m right   I hope.,It`s hard to tell But I think I`m right   I hope.,neutral,1
24684,2bbdf25fcf,**** Latvian beaurocracy. As a non-resident I can`t publish my braille highway code. Another blind alley  Woe is me. Anyone speak farsi?,**** Latvian beaurocracy. As a non-resident I can`t publish my braille highway code. Another blind alley  Woe is me. Anyone speak farsi?,neutral,1
5239,43e06613b9,Happy Star Wars Day everyone!  Whats everyone up to this rainy bank holiday?  I am heading out soon for coffee with my mum then shopping,Happy,positive,2
20833,22486bcb98,sure wish the cat would stop hiding,sure wish the cat would stop hiding,neutral,1
15203,d81e3618bd, I know.     #hhrs,I know.     #h,neutral,1
13438,bfa4ae1e4b,  Thanks darling girl   ****,Thanks darling girl,positive,2
19567,7076b06c05,"could barely sleep last night, ugh...ANYWAYS good luck with finals everybody!!! don`t rush through your tests!!! lol","could barely sleep last night, ugh...ANYWAYS good luck with finals everybody!!! don`t rush through your tests!!! lol",neutral,1
10142,7e77f9d73d,noghty night twitterific twitter tweeting pals,noghty night twitterific twitter tweeting pals,neutral,1
25587,a3a1e21a62,No one`s coming in,No one`s coming in,neutral,1
21762,3a174147aa,I had fun at Daisy`s Mexican Fiesta .,I had fun at Daisy`s Mexican Fiesta .,neutral,1
6940,b299e17421,I would rather end up heart broken then have regret because i didnt take a chance,regret because i didnt take a chance,negative,0
7417,303801b6f5, Sounds good to me!  Taylor + Kellie on tour together is just pure genious!,good,positive,2
9700,364019a5d9,bye bye South Beach....u never let me down,bye bye South Beach....u never let me down,neutral,1
27161,039547e4e8,http://twitpic.com/4wdgr - Yay! I`m a blonde again!! I feel so girly,http://twitpic.com/4wdgr - Yay! I`m a blonde again!! I feel so girly,neutral,1
16775,c63410a989,NO MORE MSHS!!!!!!!! Gotta go to work...too tired,too tired,negative,0
25219,fa8f9de34e, aw man im sorry! I have logical reasoning I promise! I had to study in order to tutor my new student! 4give me,sorry!,negative,0
21100,058928e9ad, i know but it will make us all watch the awards on sunday! lol..i want to shower and there is no water!,no water!,negative,0
12590,5f5ef8ac14,Not  looking forward to next   wednesday at all,Not  looking forward,negative,0
11021,b725b7cc02,"two hours till our offer on the house expires  no word yet! Come on people, sell us your house!!!!!!!!!!! #Parker #Colorado","two hours till our offer on the house expires  no word yet! Come on people, sell us your house!!!!!!!!!!! #Parker #Colorado",neutral,1
3419,d438d00c44, What the hell Ross?! Where is Hugh Laurie! He was supposed to be on tonights show,What the hell Ross?! Where is Hugh Laurie! He was supposed to be on tonights show,neutral,1
19627,a81c37740e,"I`m still recouperating from the holiday weekend, wow, I`ve never been sunburnt before, this really hurts","I`m still recouperating from the holiday weekend, wow, I`ve never been sunburnt before, this really hurts",neutral,1
4021,76b4b5192f," dreamwidth, a new journaling site that just went into open beta.","dreamwidth, a new journaling site that just went into open beta.",neutral,1
21193,bc2f4ee602,im at school right now,im at school right now,neutral,1
9951,5399d6cddd,Where art thou ? I miss you!,I miss you!,negative,0
8515,23cf2b874d,"_ahoy yeah I really want one too!  Probably in the winter I may be able to get one, but until then.","_ahoy yeah I really want one too!  Probably in the winter I may be able to get one, but until then.",neutral,1
5767,ca489c3d5c,why must the weather b so nice and then so bad all in 1 minute,nice,positive,2
19540,42d8d643bf, I doubt I will tho !  twit pic sumthin,I doubt I will tho !  twit pic sumthin,neutral,1
22106,385cac8e3a,Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt,Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt,neutral,1
21476,5dbb48c88a,finally finished my marketing project only took me 7 hours..now just hanging out and relaxing,relaxing,positive,2
24993,0fd86514ce,Hm. Have you ever realized how incredibly over-rated Tokio Hotel is becoming? It makes me sad.,sad.,negative,0
10204,9ee413df0b,no more arrested development. i am sad.,i am sad.,negative,0
4010,a982f09778,Whaaaat a strong rain just came over us here in Santa Clara. I wish I could sleep but I got to attend to an important meeting,I wish I could sleep but I got to attend to an important meeting,negative,0
22408,e35c435265,10 more days to go for Freedom!!!!!! **** these xams!!,**** these xams!!,negative,0
1574,b909528ab1,: Out to dinner for the fam and Grandma for Mother`s Day.,: Out to dinner for the fam and Grandma for Mother`s Day.,neutral,1
12701,2903032d89,"i cant sleep, i dont deserve this .... N you know it","i cant sleep, i dont deserve this",negative,0
4815,065dbef3f2,At envy! Loving it  best club ever.,Loving,positive,2
14992,3fd6003d6b, did u try taco n mac n cheese pizza???? I`m so cravin it right now BUT all the good food makes me sick,BUT all the good food makes me sick,neutral,1
18181,dea8c68755,Okay...So I have an AIM account now...Send me ur S/N`s on there so I can add u...Thx!,Thx!,positive,2
23209,d7fd9c35cb,Yaay congrats Shmolan on graduating  I`m proud of you!! Have fun! <3,proud,positive,2
5116,473841e6c4," no, but I will. It just seems such a cruel condition",cruel,negative,0
14485,58eb4caec4, you didn`t come to see the hosts at hilton mr. thomas. we spent lots of money for nothing. that`s boring,we spent lots of money for nothing. that`s boring,negative,0
19511,133e6b6bf7,i finally found the perfect matte lcd cleaner!! i-nix screen cleaner ftw!,found the perfect matte lcd cleaner!!,positive,2
4178,19bb515fd0, haha nice to know I`m not alone! Working in the BBC and can`t see it,nice to know,positive,2
26244,582cbc5dcb,is MySpace mobile free? or do u have 2 have credit... cause they are liers,cause they are liers,negative,0
16825,237f5490a7, I`m so sad I wish I was going to,sad,negative,0
26831,87efe64868,"i have the biggest headache right now, i washed my hair wif mum`s shampoo and now it`s gross  i like my shampoo way better","i have the biggest headache right now, i washed my hair wif mum`s shampoo and now it`s gross  i like my shampoo way better",neutral,1
17099,4464f516f8,"Bones (the show). Check. PB & J. Check. Writing my play. Check. The simple joys are still here, even if the greatest are gone.",joys,positive,2
18080,fb96065ecc, totally agree,totally agree,positive,2
12034,8d9d23964e,http://twitpic.com/4w3he The pretty flowers john mains brought the ladies 2nite!,The pretty flowers john mains brought the ladies 2nite!,positive,2
23196,d6f0e4ac5e,just bought a good chocolate and a magazine... Later I`ll play comanche 4... My good saturday,good,positive,2
5365,8eff5951e0,Ok we found our way now... I think  tonight let`s just let go its dance time!,Ok we found our way now... I think  tonight let`s just let go its dance time!,neutral,1
19694,438088f1ab," I guess it`ll work under fusion. Otherwise you`ll have to boot directly to Vista just to do some online banking, which sucks","I guess it`ll work under fusion. Otherwise you`ll have to boot directly to Vista just to do some online banking, which sucks",negative,0
22014,6c50882c36,"where is the love by the black eyed peas, so many memories. Watching the hulk!",love,positive,2
20053,071d00752c, You are doing the right thing though.  A fridge is where vegetables go to die,You are doing the right thing though.  A fridge is where vegetables go to die,neutral,1
7845,4f764abb41,"Happy Mother`s Day to all the beautiful Moms out there.  (I`m kind of a Mom, i think my little pup counts!  )",Happy Mother`s Day to all the beautiful Moms out there.,positive,2
3909,3591e1b658,"  I am here to make friends.. real life, internet.. what ever level people are comfortable with..","I am here to make friends.. real life, internet.. what ever level people are comfortable with..",neutral,1
12724,a44fe21504, Go the bubble bath!!!  Always relaxing.......,s relaxing,positive,2
17870,a91821188c, excellent  looks like you`ll have some twitterific competition,excellent,positive,2
7232,44805fe3d4,"17 things to do, the last thing on my mind is cleaning up everyone`s cake mess",last thing on my mind,negative,0
520,4e6eb888c1, Thanks for sharing that,Thanks,positive,2
3524,9473e10fe5,one week till exam block,one week till exam block,neutral,1
26800,ca4877ecef,My convo starts in 12 hours... and I am sitting 6500Km away writing GIS queries,My convo starts in 12 hours... and I am sitting 6500Km away writing GIS queries,neutral,1
9373,be285863ca, yes LOL that`s good one .remeber that bottoms are always the top .,good,positive,2
13531,0a42fb3d85,No churchill downs for me tomorrow,No churchill downs for me tomorrow,neutral,1
18269,7f63c04f61,GIVE A HATER A Hug ? Why would you do that? I don`t like mwean people,I don`t like,negative,0
5050,39fe8f535f,"Missing my husband, but it was nice to wake up in my parents` house. The dogs are ecstatic","Missing my husband, but it was nice to wake up in my parents` house. The dogs are ecstatic",neutral,1
2596,4e96aaff43,New picture isn`t working,New picture isn`t working,negative,0
2207,1943a08c94, I forgot about it and I already ate lunch  so I guess I`m not going.,I forgot about it and I already ate lunch  so I guess I`m not going.,neutral,1
12537,4bf221814c, Snap. I`m the same with any reality show. Watch the first and I`m hooked   Very sad,Very sa,negative,0
11479,69b8e4ccfd, I love your show! I`ve subscribed and following your tweets. Can`t wait to see more,I love your show!,positive,2
15290,ff354645af, Am happy to provide backup support for all murderous rampages,Am happy,positive,2
137,ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.","Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,1
19425,fcdc849fb6,Is going to miss seeing everyone all the time,miss,negative,0
9621,a7f0b2d40b,"i want to go out tonight, but i ain`t go no money and no one to go with   any takers???",but i ain`t go no money,negative,0
7646,54c198e817,I want to be like Horatio Caine,I want to be like Horatio Caine,neutral,1
16547,cf961d917e,Its so hard letting her go and seeing her cry.,hard,negative,0
20437,ef30751b05, that`s sad,sad,negative,0
8684,05bf47e142,I had fries and an ariZona at 1130 and that`s the only thing I ate today.  feeeeeed meeeeee,only thing I ate today.,negative,0
3272,342b10863f, not a fan,not a fan,negative,0
13012,092613bcc7,"Come an add, new twitter.  Only for fans.","Come an add, new twitter.  Only for fans.",neutral,1
11454,130872779f,Why am i even trying to go to sleep. Its 28c in here. I miss the cold winter nights,miss,negative,0
10155,4255080e51,i think i have a fever,i think i have a fever,neutral,1
10928,3415ab0cbb,"has to be in cockermouth for 8:45 tomorrow morning, jesus christ i want sleep","has to be in cockermouth for 8:45 tomorrow morning, jesus christ i want sleep",neutral,1
6273,62ca37ae4d, Ahh okay makes sense to start the preparations now then,sense,positive,2
4403,9e925084fe,OUCH! my earphones just shocked me,OUCH! my earphones just shocked me,negative,0
7794,daaac3bc35, oh yes some are quite nice! and my `photoshop` liep zojuist vast. so now I have to start over painting Rï¿½isï¿½ngs glove,some are quite nice!,positive,2
20202,d172a626ff," AWESOME! It feels very fulfilling, doesn`****?  I`m gonna work on SOOOO many people over the summer! Totally excited!",AWESOME!,positive,2
11077,3e1aeefa4f,watching keeping up with the kardashian on youtube,watching keeping up with the kardashian on youtube,neutral,1
21263,6f4f24aac8, Thank you  and hope you are having a great day,Thank you  and hope you are having a great day,positive,2
26236,84415d9f21," Alright, I`m coming  get another spoon ;)","Alright, I`m coming  get another spoon ;)",neutral,1
12315,3139ac78db,"first day on new job,, bought a new clothes already and it was 40% off for employee discount!","first day on new job,, bought a new clothes already and it was 40% off for employee discount!",neutral,1
18504,f0a7954ef0,migraine and leg pain and woe ): should go to bed but it is 2 flights of stairs away. Happy mother`s day,migraine and leg pain and woe ): should go to bed but it is 2 flights of stairs away. Happy mother`s day,neutral,1
489,9652c18d7d, thats another sponsor,thats another sponsor,neutral,1
13073,27ec20d3bd,having a good day at work lots of sales but boss is under foot.   she`s a nice person but i dont like the boss bugging me,having a good day at work lots of sales but boss is under foot.   she`s a nice person but i dont like the boss bugging me,neutral,1
8043,bfbd1996de, I envy everyone on AOTS...,I envy,positive,2
25147,12bc6d87cd, It`s going to be a fun night and I`m helping host it!!!,going to be a fun night,positive,2
4663,2c4e264a1f,Off to see the Doc in a bit to get the knee checked out,Off to see the Doc in a bit to get the knee checked out,neutral,1
27319,dc93cd26e1, http://twitpic.com/66st1 - please let me freee... I can`t watch you **** for much loongerrr!,http://twitpic.com/66st1 - please let me freee... I can`t watch you **** for much loongerrr!,neutral,1
642,ea25722a23,_michele thanks for that...am now following them...love good causes,love good causes,positive,2
13150,a27b18cc35,At work and really slow for a beautiful day and a Friday.,beautiful,positive,2
9878,6f6f3a42d2,Hey #socialmediatv ugh no way to do video>blah {pouts}   (Social Media TV live > http://ustre.am/2NjV),ugh no way,negative,0
20412,0644cd71d6, hope the presentation went well today?! tweet me if yr on campus tomorrow - I`ll be around from lunch time onwards,hope,positive,2
16054,886efc32dc,"I can`t wait till it`s Sunday, a new episode of Supernatural but then there are only 6 episodes left now","I can`t wait till it`s Sunday, a new episode of Supernatural but then there are only 6 episodes left now",neutral,1
7937,0ae6313c6a,this is my movie weekend!! i`ve watched 5 movies so far,this is my movie weekend!! i`ve watched 5 movies so far,neutral,1
11354,570efb3a0b,brought some new glass for my camera,brought some new glass for my camera,neutral,1
10669,c01cecfd98,50 is sooo much better than 65  my biology score`s so bad.,50 is sooo much better than 65  my biology score`s so bad.,neutral,1
17129,af526a85c3,I am excited to be home  finally a week and a weekend with people i know,excited,positive,2
10616,d406cbdd14,J Ross you can`t leave the killers still singing and run the titles - you should have been edited out for more music - happy - not,happy - not,negative,0
1860,40d8340387," I gotta say, I feel bad for everyone in NKorea.  They`re starving, and they have a crazy in charge who endangers them daily.",", I feel bad for everyone in NKorea.",negative,0
19353,cf93a13cb6,Laying in bed texting. Good night ya`ll,Good,positive,2
22890,43958ec7ea,"Today is a sad day for Tucson: http://tr.im/mQ39 I shall miss the sour cream apple pie, fondue, and separate seating for groups with dogs",sad,negative,0
11958,3ddb3dd806,It`s hella itchy!  http://twitpic.com/66m7f,It`s hella itchy!,negative,0
21870,b47d9a6f97,looking at this website!! should be working!!,should be working!!,positive,2
